ID_PRODUTO;CODIGO;PRODUTO;CUSTO;VENDA;STATUS
8869;7893000134638;ALMONDENGAS DE CARNE SADIA 500G;17,76;17,99;Ativo
8697;7896194701488;ALPISTE AGUIA 500G;0,00;7,99;Ativo
10607;7896067001851;ALPISTE CORDEIRO 500g;7,60;10,99;Ativo
9462;7897157050728;ALUM CACAROLA POLIDO N°16;15,50;23,49;Ativo
9467;7897157060482;ALUM CACAROLA POLIDO N°20;15,50;25,99;Ativo
9468;7897157056140;ALUM CACAROLA POLIDO N°24;15,50;28,99;Ativo
9461;7897157059110;ALUM CACAROLA PRETO N° 16;15,50;22,99;Ativo
9459;7897157066422;ALUM CUSCUZEIRO POLIDO N°14;15,50;23,99;Ativo
9465;7897157050278;ALUM CUSCUZEIRO POLIDO N°16;15,50;24,99;Ativo
9460;7897157063261;ALUM CUSCUZEIRO VERMELHO N°14;15,50;24,99;Ativo
9458;7897157064442;ALUM FERVEDOR POLIDO N°12;15,50;22,99;Ativo
9463;7897157064510;ALUM FERVEDOR PRETO N°12;15,50;22,99;Ativo
9457;7897157060550;ALUM FERVEDOR PRETO N14;15,50;23,99;Ativo
9464;7897157064107;ALUM FERVEDOR VERMELHO N°12;15,50;22,99;Ativo
9456;7897157064114;ALUM FEVRVEDOR VERMELHO N14;15,50;23,99;Ativo
9472;7897157056904;ALUM FORMA DE BOLO PRETO Nº20;15,50;23,99;Ativo
9471;7897157062264;ALUM FORMA DE BOLO VERMELHO Nº20;15,50;23,99;Ativo
9477;7897157062271;ALUM FORMA DE BOLO VERMELHO Nº22;15,50;24,99;Ativo
9475;7896856302503;ALUM FORMA P/TORTA BOLO;15,50;23,99;Ativo
9474;7896856321498;ALUM FORNERIE ANTIADERENTE;15,50;24,99;Ativo
9473;7896856302640;ALUM FORNERIE POLIDA;15,50;24,99;Ativo
9466;7897157060932;ALUM FRIGIDEIRA PRETO N°20;15,50;23,99;Ativo
10069;7898917072417;ALVEJANTE SEMORIN 500ML REFIL S/CL. ROUPAS COLORID;6,30;9,49;Ativo
10068;7898917072462;ALVEJANTE SEMORIN BRANCAS 500ml;4,99;7,99;Ativo
3078;7896083800681;ALVEJANTE SUPER CANDIDA 1L;3,79;5,99;Ativo
3963;7896083800094;ALVEJANTE SUPER CANDIDA FLORAL 1L;3,71;5,99;Ativo
3869;7896083800353;ALVEJANTE SUPER CANDIDA LAVANDA 1L;3,71;5,99;Ativo
9273;7891035040436;ALVEJANTE VANISH LIQ WHITE 500ML;7,77;11,49;Ativo
7775;7896098904695;ALVEJANTE YPE FLORES DE PRIMAV 1L;4,78;7,49;Ativo
10643;7896075990734;AMAC BABY SOFT 5L;14,89;22,99;Ativo
7117;7896075912484;AMAC BABY SOFT CARINHO 2L;5,15;7,99;Ativo
6210;7896075990727;AMAC BABY SOFT CARINHO 2L;6,19;8,99;Ativo
6211;7896075910459;AMAC BABY SOFT ENVOLVENTE 2L;6,19;8,99;Ativo
3210;7891150039001;AMAC COMFORT HIPOALERGENICO LV 50OML PG400ML;8,56;11,99;Ativo
7471;7891150048485;AMAC COMFORT HIPOALERGICO 500ML;7,50;10,99;Ativo
12488;7506339332650;AMAC CONC DOWNY BRISA DE VERAO 1,5L;27,99;41,99;Ativo
7448;7500435198240;AMAC DOWNY BRISA DE VERAO 500ML;9,45;13,99;Ativo
10536;7500435251235;AMAC DOWNY BRISA DE VERAO REFIL 750ML;10,99;17,49;Ativo
12487;7506339389883;AMAC DOWNY CONC LIRIOS 1,5L;27,99;41,99;Ativo
10578;7891150092761;AMAC FOFO AZUL TUDAO 500ML;6,17;9,49;Ativo
12408;7908324403459;AMAC MINUANO AZUL ESCURO 2L;7,57;10,99;Ativo
10720;7897664150010;AMAC MINUANO BRISA MACIA 2L;7,57;10,99;Ativo
10721;7897664150409;AMAC MINUANO JARDIM SECRETO 2L;7,57;10,99;Ativo
10225;7891022867459;AMAC MON BIJOU FRESCOR 1,7L;7,00;10,99;Ativo
7118;7891022860436;AMAC MON BIJOU MACIEZ 1.7L;7,00;10,99;Ativo
7119;7891022860450;AMAC MON BIJOU PERFUME 1.7L;6,80;10,99;Ativo
7120;7891022867442;AMAC MON BIJOU PROTECAO 1.7L;7,00;10,99;Ativo
1655;7891150000971;AMAC ROUPA COMFORT CONC 500ML;7,69;12,49;Ativo
2789;7891150048492;AMAC ROUPA COMFORT CONC LV 50OML PG400ML;7,50;10,99;Ativo
1656;7506195143834;AMAC ROUPA DOWNY CONC 500ML;8,39;12,99;Ativo
10546;7896056401136;AMAC URCA FLORAL BOUQUET 2L;5,89;8,49;Ativo
10545;7896056404014;AMAC URCA LAVANDA  2L;5,89;8,49;Ativo
10862;7896098903469;AMAC YPE CONC LOCCITANE BRESIL 1L;16,10;23,99;Ativo
1327;7896075910442;AMAC. BABY SOFT TQ. SEDUTOR 2L;0,00;4,99;Ativo
1636;7891242420557;AMAC. CONC. CARINHO UAU 500ML;8,18;11,99;Ativo
1635;7891242420540;AMAC. CONC. LAVANDA UAU 500ML;7,08;9,99;Ativo
4468;7891022100617;AMAC. MON BIJOU PUREZA  2L;6,50;8,99;Ativo
1745;7896083800810;AMAC.QBOA 500ML;1,99;2,99;Ativo
1671;7896098900390;AMAC.ROUP.CONC. YPÊ BLUE 500ML;8,06;11,99;Ativo
3961;7896098903049;AMAC.ROUP.CONC. YPÊ DELICADO 500ML;8,49;11,99;Ativo
3960;7896098901489;AMAC.ROUP.CONC. YPE ENCANTO 500ML;5,91;8,49;Ativo
3959;7896098900383;AMAC.ROUP.CONC. YPE PINK 500ML;5,91;8,49;Ativo
270;4030;AMAC.ROUPAS MON BIJOU 2L;7,68;10,49;Ativo
4743;7896083801305;AMAC.SUPER CANDIDA CARNINHO 2L;6,09;8,99;Ativo
9162;7896056401112;AMAC.URCA BRISA DE PRIM.2L;5,89;8,49;Ativo
1746;7896040705325;AMAC.VIDA MACIA 500ML;5,70;8,49;Ativo
5018;7896098902493;AMAC.YPÊ INTENSO 2L;7,49;9,99;Ativo
4994;7896098900413;AMAC.YPÊ TERNURA 500ML;2,59;4,49;Ativo
1730;7891095156429;AMACI.CARNE KITANO 120G;5,33;7,99;Ativo
7738;7897664150041;AMACI.MINUANO BRISA MACIA 500ML;2,66;4,49;Ativo
1322;7891022100631;AMACIA. MON BIJOU HARMONIA 2L;0,00;6,99;Ativo
9834;7908324405170;AMACIANTE ASSIM DIA A DIA 500ML;2,79;5,49;Ativo
7727;7896075910534;AMACIANTE BABY SOFT 2L;5,54;7,99;Ativo
3561;7891150079991;AMACIANTE COMFORT FIBER PROTRCT 500ML;7,03;10,99;Ativo
12163;7891150028944;AMACIANTE COMFORT FRESCOR INTENSO 1L;16,67;24,99;Ativo
2578;7506195143872;AMACIANTE CONC DOWNY;7,49;9,99;Ativo
2226;7896098900864;AMACIANTE CONC. YPÊ 500ML;7,29;10,49;Ativo
2776;7891000502303;AMACIANTE DE CARNE MAGGI 120G;7,47;10,99;Ativo
2518;7897389301513;AMACIANTE DE CARNE PENINA 100G;1,86;2,79;Ativo
9999;7500435252195;AMACIANTE DOWNY ALFAZEMA 500ML;8,39;12,99;Ativo
8085;7500435243612;AMACIANTE DOWNY BRISA SUAVE 500ML;8,19;13,99;Ativo
8848;7500435244619;AMACIANTE DOWNY CONC 500ML;7,95;11,49;Ativo
8062;7500435243650;AMACIANTE DOWNY CONCENTRADO 1L;14,80;20,99;Ativo
5565;7500435201292;AMACIANTE DOWNY INTENSO 500ML;8,39;12,99;Ativo
7649;7500435160087;AMACIANTE DOWNY MISTICO 500ML;8,49;12,99;Ativo
3128;7500435156981;AMACIANTE DOWNY SENSITIVE 450ML;10,06;12,99;Ativo
11064;7897664150027;AMACIANTE MINUANO ROSA 2L;7,57;10,99;Ativo
9927;7891022860429;AMACIANTE MON BIJOU 1.7L;7,00;10,99;Ativo
1323;7891022849028;AMACIANTE MON BIJOU MAGIA 2L;0,00;6,99;Ativo
7413;7891024128503;AMACIANTE OLA ORIGINAL 500G;11,81;16,99;Ativo
3150;7891150056473;AMACIANTE SUPER FOFO 500ML GRATIS 50ML;5,13;7,69;Ativo
10930;7896524723159;AMACIANTE SUPREMA 5L;11,49;16,99;Ativo
8909;7896524723098;AMACIANTE SUPREMA CARINHO 2L;4,55;7,49;Ativo
4936;7891242420533;AMACIANTE UAU FLORES E SONHOS 500ML;7,08;9,99;Ativo
6389;78912424200540;AMACIANTE UAU LAVANDA E FRESCOR 500ML;7,08;9,99;Ativo
4935;7891242420564;AMACIANTE UAU ROSAS E SEDUÇÃO 500ML;7,13;10,49;Ativo
1324;7896056402607;AMACIANTE URCA TERNURA BABY 2L;5,89;8,49;Ativo
1326;7898925458272;AMACIANTE VALESCA AZUL 2L;0,00;3,99;Ativo
1325;7898925458289;AMACIANTE VALESCA ROSA 2L;0,00;3,99;Ativo
9554;7896040704120;AMACIANTE VIDA MACIA AMENDOAS 1L;9,15;13,99;Ativo
3018;7896040705318;AMACIANTE VIDA MACIA HIPOALERGICO 500ML;5,69;8,49;Ativo
2174;7896098900406;AMACIANTE YPÊ ACON 500ML;2,62;4,99;Ativo
60;1160;AMACIANTE YPÊ ACONCHEGO 2L;5,40;6,99;Ativo
1714;2789609890240;AMACIANTE YPÊ ACONCHEGO 2L;7,69;10,99;Ativo
2627;7896098902486;AMACIANTE YPÊ ACONCHEGO 2L GRATIS 200ML;7,06;9,99;Ativo
3799;7896098902424;AMACIANTE YPÊ CARINHO 2L;7,30;10,99;Ativo
3798;7896098902394;AMACIANTE YPÊ DELICADO 2L;7,29;10,99;Ativo
5588;7896098903032;AMACIANTE YPE INTENSO 2L;7,69;10,99;Ativo
6713;7896098900871;AMACIANTE YPE LIBERDADE 500ML;8,48;11,99;Ativo
8840;7896098902417;AMACIANTE YPE TERNURA 2L;7,29;10,99;Ativo
2139;7506195143858;AMACIENTE LIRIO 500ML;10,06;14,49;Ativo
9447;7896009761928;AMARELINHA AAA RAYOVAC 4UN;1,82;5,49;Ativo
638;7897457620447;AMEIXA BAMBU 70G;1,99;2,99;Ativo
5515;7898931936917;AMEIXA CUMBUCA 650G;2,99;3,99;Ativo
240;3042;AMEIXA IMPORTADA KG;16,67;24,99;Ativo
248;3324;AMEIXA NACIONAL KG;7,50;17,99;Ativo
8177;7891089062293;AMEIXA SECA C/ CAROCO 100G;7,51;10,99;Ativo
7678;7896292305625;AMEIXA SECA PREDILECTA 150G;6,85;9,99;Ativo
4930;7896067000311;AMEIXA SECA S/CAROÇO 100G;6,43;9,49;Ativo
10963;7899916918836;23633 - SUCO DE LARANJA AMBIENTE NATURAL ONE 1,7 LITROS (UN);10,99;14,99;Ativo
10071;7891040198726;3M TININDO ESPONJA MULT  4un;4,01;5,99;Ativo
7088;7896002111928;51 ICE AÇAI C/GUARANA 275ML;4,79;6,99;Ativo
3864;7896002111195;51 ICE BALADA 269ML;1,99;2,99;Ativo
2608;7896002111034;51 ICE DRINK BALADA 275ML;3,49;6,49;Ativo
2609;7896002111706;51 ICE DRINK CITRUS 275ML;3,65;5,99;Ativo
2793;7896002110419;51 ICE DRINK LIMÃO 275ML;3,49;6,49;Ativo
2794;7896002110457;51 ICE DRINK MARACUJA 275ML;3,49;6,49;Ativo
5882;7896002110471;51 ICE DRINK TANGERINA 275ML;4,82;6,99;Ativo
3201;7896002111508;51 ICE FRUIT MIX 275ML;3,99;6,99;Ativo
3862;7896002111171;51 ICE KIWI 269ML;1,99;2,99;Ativo
5146;7896002110983;51 ICE KIWI 275ML;4,53;6,99;Ativo
3863;7896002111263;51 ICE MARACUJA 269ML;1,99;2,99;Ativo
8935;7896002111973;51 ICE ZERO 3 LIMOES 275ML;3,79;5,99;Ativo
357;6757;6757;0,00;0,00;Ativo
358;6775;6775;0,00;0,00;Ativo
359;6776;6776;0,00;0,00;Ativo
360;6788;6788;0,00;0,00;Ativo
363;6824;6824;0,00;0,00;Ativo
368;6892;6892;0,00;0,00;Ativo
369;6896;6896;0,00;0,00;Ativo
370;6902;6902;0,00;0,00;Ativo
371;6905;6905;0,00;0,00;Ativo
372;6908;6908;0,00;0,00;Ativo
374;6910;6910;0,00;0,00;Ativo
377;6914;6914;0,00;0,00;Ativo
381;6924;6924;0,00;0,00;Ativo
384;6938;6938;0,00;0,00;Ativo
386;6951;6951;0,00;0,00;Ativo
387;6953;6953;0,00;0,00;Ativo
388;6966;6966;0,00;0,00;Ativo
389;6977;6977;0,00;0,00;Ativo
390;6979;6979;0,00;0,00;Ativo
393;6986;6986;0,00;0,00;Ativo
394;6994;6994;0,00;0,00;Ativo
397;7011;7011;0,00;0,00;Ativo
399;7018;7018;0,00;0,00;Ativo
402;7030;7030;0,00;0,00;Ativo
403;7031;7031;0,00;0,00;Ativo
